Account Name,Account ID,Tier,NTEE code,EIN,One time donations amount,Recurring donations amount,Total Donations Amount,FRU - Sector,FRU - Subsector
BC Cancer Foundation,ALWXASUC,Tier 3 ($20K–$50K),,,"$1,636,577","$6,148","$1,642,725",,
CWS,AGMKRHGV,Tier 2 ($50K–$100K),F21,92-0309786,"$1,058,908","$582,445","$1,641,353",,
The Gospel Coalition,ACCWABLW,Tier 3 ($20K–$50K),X00: Religion: General,01-0892431,"$1,015,653","$621,419","$1,637,072",Religion,Religion - General
Paws of War,APLTDHSD,Tier 2 ($50K–$100K),D20: Animal Protection and Welfare,46-5113396,"$1,128,752","$503,563","$1,632,316",Animal Welfare,Animal Welfare - General
Pancreatic Cancer UK,ATBTMWDS,Tier 3 ($20K–$50K),G30: Cancer,,"$1,276,606","$353,279","$1,629,886",Healthcare,Healthcare - Cancer
The Zahra Trust,ASFPFBAA,Tier 5 ($5K–10K),,,"$1,566,341","$61,827","$1,628,168",,
Humane Society of Missouri,AETGLVUC,Tier 3 ($20K–$50K),D20: Animal Protection and Welfare,43-0652638,"$1,118,512","$493,089","$1,611,601",Animal Welfare,Animal Welfare - General
Plum Village Monastery,AQFKDYWV,,,,"$1,035,784","$538,634","$1,574,418",,
Boys & Girls Clubs of PR,ASKSXPHU,Tier 3 ($20K–$50K),,,"$1,527,391","$18,639","$1,546,030",,
Los Angeles Mission,ADHHWQDV,Tier 3 ($20K–$50K),"L41: Homeless, Temporary Shelter",95-3134049,"$1,423,195","$108,939","$1,532,134",Human Services,"Human Services - Housing, Shelter"
St. Matthew's House,AGMWLLED,Tier 3 ($20K–$50K),"L41: Homeless, Temporary Shelter",,"$1,352,399","$169,036","$1,521,436",Human Services,"Human Services - Housing, Shelter"
Filter of Hope,ABBUGUKC,Tier 3 ($20K–$50K),X20: Christian,37-1751688,"$575,855","$944,060","$1,519,915",Religion,Religion - Christian
Calgary Humane Society,ADFSLUFV,Tier 2 ($50K–$100K),D: Animal-Related,,"$1,235,172","$283,686","$1,518,858",Animal Welfare,Animal Welfare - General
Feeding America Eastern Wisconsin,AEGRAVTV,Tier 3 ($20K–$50K),"K31: Food Banks, Food Pantries",39-1384593,"$1,245,394","$270,454","$1,515,848",Food & Nutrition,Food Banks
MAZON: A Jewish Response to Hunger,ARHXXBJG,Tier 5 ($5K–10K),X30: Jewish,22-2624532,"$1,423,658","$90,875","$1,514,532",Religion,Religion - Jewish
"International Friendships, Inc.",ANUGHKAZ,Tier 2 ($50K–$100K),"Q20: International Exchanges, Cultural Understanding",31-0971249,"$505,700","$995,035","$1,500,735",International Affairs,International Affairs - General
Food Banks Mississauga,AJFUXHCN,Tier 3 ($20K–$50K),Not US,,"$1,206,155","$294,329","$1,500,484",Human Services,Human Services - Sports & Youth Development
Siloam Mission,ACKQVTRX,Tier 2 ($50K–$100K),T20: Private Foundations,46-2590625,"$1,299,313","$196,383","$1,495,696",Public and Society Benefit,Public & Society Benefit - General
All Faiths Food Bank,AXCHDMUW,Tier 3 ($20K–$50K),"K31: Food Banks, Food Pantries",65-0115814,"$1,333,184","$156,929","$1,490,113",Food & Nutrition,Food Banks
UHR Najam Institute Foundation Inc,AHRLVFYF,Tier 3 ($20K–$50K),,,"$101,441","$1,380,511","$1,481,952",,
Defy:Disaster,ALZCQYZT,,,,"$1,444,884","$33,781","$1,478,665",,
Detroit Rescue Mission Ministries,AHTNQTYG,Tier 3 ($20K–$50K),"F20: Alcohol, Drug, and Substance Abuse, Dependency Prevention and Treatment",38-1459371,"$1,315,320","$152,775","$1,468,096",Healthcare,"Healthcare - Mental Health, Abuse"
Humaniti Canada,ADZYUAPL,Tier 4 ($10K–$20K),,,"$1,126,073","$340,022","$1,466,095",,
The Foster Alliance (formerly Arizona Helping Hands),AEWJHXXV,Tier 4 ($10K–$20K),,,"$1,360,385","$99,353","$1,459,738",,
National Heart Foundation of Australia,ADBHFHVE,Tier 1 ($100K+),Not US,,"$1,446,743",$13,"$1,446,755",Human Services,Human Services - Sports & Youth Development
United Way Worldwide,AQAZGSEP,Tier 1 ($100K+),"T00: Philanthropy, Voluntarism, and Grantmaking Foundations: General",13-1635294,"$1,243,591","$190,483","$1,434,074",Public and Society Benefit,Public & Society Benefit - General
Ovarian Cancer Research Alliance,ARMYKCAJ,Tier 2 ($50K–$100K),G30: Cancer,,"$1,212,796","$202,893","$1,415,689",Healthcare,Healthcare - Cancer
RedRover,AFZFMPFT,Tier 4 ($10K–$20K),D20: Animal Protection and Welfare,,"$736,539","$669,298","$1,405,837",Animal Welfare,Animal Welfare - General
God's Pantry Food Bank,ADZDSYPS,Tier 3 ($20K–$50K),,31-0979404,"$977,799","$401,101","$1,378,900",,
Refugee & Immigrant Center for Education & Legal Services (RAICES),AWYVVGNV,Tier 3 ($20K–$50K),"P84: Ethnic, Immigrant Centers and Services",74-2436920,"$873,408","$505,104","$1,378,512",Human Services,"Human Services - Housing, Shelter"
Trillium Health Partners Foundation,AFHQHUFB,Tier 1 ($100K+),E12: Fundraising and/or Fund Distribution,,"$1,190,156","$180,706","$1,370,862",Healthcare,Healthcare - General
The Seeing Eye,AJBDYFXT,Tier 3 ($20K–$50K),P80: Services to Promote the Independence of Specific Population Groups,22-1539721,"$1,041,568","$321,484","$1,363,052",Human Services,"Human Services - Housing, Shelter"
ACN - Deutschland,ACUQBXBA,Tier 3 ($20K–$50K),,,"$1,221,783","$137,213","$1,358,996",,
Basmah,ACKTXHNR,Tier 4 ($10K–$20K),T20: Private Foundations,,"$1,131,181","$223,596","$1,354,777",Public and Society Benefit,Public & Society Benefit - General
Arbor Day Foundation,ALPEXDKM,Tier 2 ($50K–$100K),C50: Environmental Beautification and Open Spaces,23-7169265,"$1,099,672","$254,997","$1,354,668",Environment,Environment - General
CAMH Foundation,ARZKFRKX,Tier 3 ($20K–$50K),,,"$1,313,220","$23,670","$1,336,891",,
Americans United for Separation of Church & State,AAPLWWEJ,Tier 3 ($20K–$50K),R60: Civil Liberties Advocacy,53-0184647,"$1,219,802","$105,011","$1,324,813",Human Services,"Human Services - Civil Rights, Social Justice"
Animal Charity Evaluators,ARUUPDNE,Tier 3 ($20K–$50K),"D30: Wildlife Preservation, Protection",36-4684978,"$882,144","$434,349","$1,316,494",Animal Welfare,Animal Welfare - General
Lifeline Children's Services,ADEKFRJF,Tier 3 ($20K–$50K),X20,63-0896878,"$925,673","$386,152","$1,311,824",Religion,Religion - Christian
SPCA of Texas,AQSMVWTM,Tier 3 ($20K–$50K),D20: Animal Protection and Welfare,75-1216660,"$1,128,894","$175,878","$1,304,772",Animal Welfare,Animal Welfare - General
Truthout,ASWCKERB,Tier 5 ($5K–10K),"A33: Printing, Publishing",20-0031641,"$480,615","$817,572","$1,298,187",Arts & Culture,Arts & Culture - Media
Water Street Mission,APWTJEJZ,Tier 3 ($20K–$50K),P85: Homeless Persons Centers and Services,,"$1,041,500","$250,806","$1,292,306",Human Services,"Human Services - Housing, Shelter"
Access Fund,AMSSEBEU,Tier 6 (<$5K),C34: Land Resources Conservation,94-3131165,"$947,058","$344,083","$1,291,141",Environment,Environment - General
Council on Foreign Relations,AFNZYGMF,Tier 3 ($20K–$50K),Q40: International Peace and Security,13-1628168,"$1,282,141","$3,644","$1,285,785",International Affairs,International Affairs - General
BlinkNow Foundation,AEDSCDSM,Tier 3 ($20K–$50K),"P70: Residential, Custodial Care (Group Home)",26-0819262,"$651,123","$633,530","$1,284,653",Human Services,"Human Services - Housing, Shelter"
Colorado Coalition For The Homeless,ALEZNENB,Tier 4 ($10K–$20K),P85: Homeless Persons Centers and Services,84-0951575,"$838,882","$438,068","$1,276,950",Human Services,"Human Services - Housing, Shelter"
Indus Development Foundation,AUHUYHUQ,Tier 6 (<$5K),,,"$878,035","$391,527","$1,269,562",,
Humane Society of Huron Valley,APQJPBMZ,Tier 4 ($10K–$20K),D20: Animal Protection and Welfare,38-1474931,"$1,035,635","$231,560","$1,267,196",Animal Welfare,Animal Welfare - General
Shrine of Our Lady of Guadalupe,AATDZMPP,Tier 3 ($20K–$50K),X22: Roman Catholic,39-1982320,"$674,914","$591,503","$1,266,417",Religion,Religion - General
The Exodus Road,AVMRVNLJ,Tier 6 (<$5K),Q70: International Human Rights,46-1384815,"$607,277","$657,633","$1,264,910",International Affairs,International Affairs - General
Food Bank of South Jersey,AJRDBHLB,Tier 3 ($20K–$50K),"K31: Food Banks, Food Pantries",22-2623089,"$958,785","$283,018","$1,241,803",Food & Nutrition,Food Banks
Muscular Dystrophy Association,AJGERPHC,Tier 1 ($100K+),"G50: Nerve, Muscle, and Bone Diseases",13-1665552,"$1,170,709","$69,726","$1,240,434",Healthcare,Healthcare - General
National Breast Cancer Foundation,ACVWPGTX,Tier 5 ($5K–10K),G30: Cancer,75-2391148,"$1,145,783","$85,991","$1,231,774",Healthcare,Healthcare - Cancer
NYC Second Chance Rescue,AEGMNHHZ,Tier 4 ($10K–$20K),,,"$836,350","$391,621","$1,227,971",,
Variety - the Children's Charity of BC,AFCJFLJX,Tier 2 ($50K–$100K),S80: Community Service Clubs,,"$1,193,182","$27,837","$1,221,019",Public and Society Benefit,Public & Society Benefit - General
Sakeenah Canada,ALZLLPCZ,Tier 3 ($20K–$50K),,,"$1,082,424","$134,471","$1,216,895",,
CAMFED (US Stripe),ASUHNEMV,Tier 5 ($5K–10K),,,"$986,294","$227,111","$1,213,405",,
Harvest Manitoba,AVALTECL,Tier 3 ($20K–$50K),,,"$1,116,775","$95,537","$1,212,312",,
Valor Education,AMDVQDRB,Tier 4 ($10K–$20K),B25: High School,81-1122012,"$658,036","$552,023","$1,210,059",Education,K-12 Education
Scholars Without Borders,ADSFCNJZ,Tier 6 (<$5K),"T12: Philanthropy, Voluntarism, and Grantmaking Foundations",33-2263508,"$1,035,396","$170,201","$1,205,597",Public and Society Benefit,Public & Society Benefit - General
Rise Against Hunger,ANBYCWZB,Tier 3 ($20K–$50K),Q33: International Relief,16-1541024,"$1,099,082","$97,285","$1,196,367",International Affairs,International Affairs - General
Common Dreams,ANRLZVWL,Tier 3 ($20K–$50K),"A33: Printing, Publishing",20-3368194,"$760,281","$422,535","$1,182,815",Arts & Culture,Arts & Culture - Media
Catholic Mission,AAZPEMCE,Tier 3 ($20K–$50K),,,"$1,128,776","$53,010","$1,181,786",,
Exodus Cry,AMSVGLUS,Tier 3 ($20K–$50K),Q70: International Human Rights,26-2317116,"$459,436","$722,131","$1,181,567",International Affairs,International Affairs - General
Miftaah Institute,ALLMLWUX,Tier 3 ($20K–$50K),X40: Islamic,85-0828075,"$1,007,415","$171,902","$1,179,317",Religion,Religion - Islamic
CAIR Los Angeles,ARKFKJVF,,,,"$921,358","$257,730","$1,179,088",,
1A SQ,AXAVCAHB,,,,"$699,392","$476,625","$1,176,018",,
Ethar Relief,ARGQDFUW,Tier 4 ($10K–$20K),"Q71: International Migration, Refugee Issues",,"$857,272","$292,630","$1,149,902",International Affairs,International Affairs - General
Amnesty International Canada,AGFXJALT,Tier 3 ($20K–$50K),Q70: International Human Rights,,"$936,868","$209,667","$1,146,535",International Affairs,International Affairs - General
United Way of Greater Los Angeles,AXJANRTX,Tier 2 ($50K–$100K),"T00: Philanthropy, Voluntarism, and Grantmaking Foundations: General",95-2274801,"$1,045,133","$83,144","$1,128,277",Public and Society Benefit,Public & Society Benefit - General
Al-Furqaan Foundation,AWDZXPTL,Tier 3 ($20K–$50K),X40: Islam,20-0310701,"$802,640","$318,769","$1,121,408",Religion,Religion - Islamic
Akhuwat,AMUQMPFP,Tier 2 ($50K–$100K),,,"$1,013,429","$103,197","$1,116,626",,
Bible League Canada,AMSBCQXZ,Tier 4 ($10K–$20K),X20: Christian,,"$945,442","$168,747","$1,114,189",Religion,Religion - Christian
Medical Teams International,AYFGMCGQ,Tier 3 ($20K–$50K),"Q30: International Development, Relief Services",93-0878944,"$869,383","$243,046","$1,112,429",International Affairs,International Affairs - General
Network For Animals,AUURWBUK,Tier 6 (<$5K),,,"$823,868","$283,679","$1,107,547",,
JRS USA,AFNQRVLX,Tier 3 ($20K–$50K),,,"$768,344","$339,017","$1,107,361",,
International Justice Mission Australia,ABMQCSVC,Tier 6 (<$5K),,,"$548,234","$558,335","$1,106,568",,
Restore7,ADEQBZGW,Tier 4 ($10K–$20K),X20: Christian,27-1088190,"$584,371","$515,628","$1,099,999",Religion,Religion - Christian
RAICES,AWYVVGNV,Tier 3 ($20K–$50K),"P84: Ethnic, Immigrant Centers and Services",74-2436920,"$1,019,146","$78,316","$1,097,462",Human Services,"Human Services - Housing, Shelter"
Volunteers of America,AUUBUKVP,Tier 1 ($100K+),S80: Community Service Clubs,26-0702986,"$843,249","$245,801","$1,089,050",Public and Society Benefit,Public & Society Benefit - General
SPIRIT 105.3,AVGVCGVN,,,,"$516,137","$566,054","$1,082,191",,
Israeli-American Council,AFXJVDZV,Tier 4 ($10K–$20K),P20,22-3951652,"$876,942","$200,095","$1,077,037",International Affairs,International Affairs - General
Hope Channel International,AYDTFZLP,Tier 3 ($20K–$50K),X00: Religion: General,35-2328656,"$637,941","$438,435","$1,076,376",Religion,Religion - General
National Air and Space Museum,AUVYPFTF,,,,"$1,008,941","$65,877","$1,074,818",,
Sadagaat-USA,ASTEGQUP,Tier 6 (<$5K),Q33: International Relief,47-2864379,"$953,335","$115,664","$1,068,998",International Affairs,International Affairs - General
1A Najam Institute Main - PSM,APXHLTJL,,,,"$426,768","$641,555","$1,068,323",,
Save the Children,AHVFUJPY,Tier 3 ($20K–$50K),A01,88-0524188,"$910,947","$54,569","$965,516",,
Save the Children,VMZETRCF,Tier 1 ($100K+),A01,88-0524188,$0,"$97,845","$97,845",,
Muslim Food Bank & Community Services Society,AESGLBLZ,,,,"$769,425","$292,312","$1,061,737",,
Ecojustice,AYYBDLHS,Tier 1 ($100K+),C01: Alliance/Advocacy Organizations,,"$767,918","$291,511","$1,059,429",Environment,Environment - General
Colorectal Cancer Alliance,AKBNKVEC,Tier 4 ($10K–$20K),G30: Cancer,86-0947831,"$955,830","$99,496","$1,055,326",Healthcare,Healthcare - Cancer
North York General Hospital Foundation,AEGNBKAC,Tier 6 (<$5K),,,"$1,022,633","$28,387","$1,051,020",,
Welcome Hall Mission,AMBUWGZV,,,,"$904,085","$140,317","$1,044,402",,
Special Olympics Canada,ATARUNEP,Tier 3 ($20K–$50K),,,"$272,753","$769,974","$1,042,726",,
1A Najam Institute - DE,AFLLTLFS,,,,"$808,800","$222,898","$1,031,698",,
Scottish SPCA,AXKVKWXB,Tier 3 ($20K–$50K),,,"$638,346","$388,811","$1,027,157",,
MyFundAction,AKYTBYYM,Tier 6 (<$5K),,,"$672,666","$352,336","$1,025,002",,
Untold,AWZMKWLW,Tier 5 ($5K–10K),G81: HIV / AIDS,26-1412708,"$693,867","$330,113","$1,023,980",Healthcare,Healthcare - General
DigDeep,AWLLNNVV,Tier 4 ($10K–$20K),"C32: Water Resource, Wetlands Conservation and Management",46-0686920,"$850,573","$169,386","$1,019,959",Environment,Environment - General
The Conservation Fund,ARWSQGZB,Tier 4 ($10K–$20K),C34: Land Resources Conservation,52-1388917,"$900,163","$110,039","$1,010,202",Environment,Environment - General
Dave Thomas Foundation for Adoption,AQDVLSJS,Tier 2 ($50K–$100K),P31: Adoption,31-1356151,"$976,037","$32,017","$1,008,053",Human Services,Human Services - General
The Lady Fatemah (A.S.) Charitable Trust,AYGHQZZH,Tier 3 ($20K–$50K),,,"$896,923","$109,914","$1,006,837",Religion,Religion - General
International Justice Mission UK,AGMQWWLR,Tier 4 ($10K–$20K),Q70: International Human Rights,,"$503,611","$502,551","$1,006,162",International Affairs,International Affairs - General
FEBC - Far East Broadcasting Company,AZVQFKWR,Tier 3 ($20K–$50K),,,"$867,058","$138,456","$1,005,514",,
Catholic Charities Twin Cities,AQRMUBTC,Tier 3 ($20K–$50K),,,"$733,546","$269,057","$1,002,604",,
IFES/USA,AAWRCGMZ,,,,"$577,405","$420,723","$998,128",,
Dane County Humane Society,ATFJEKZF,Tier 4 ($10K–$20K),D20: Animal Protection and Welfare,39-0806335,"$747,218","$249,953","$997,171",Animal Welfare,Animal Welfare - General
Clinton Foundation,ACUVFNNB,Tier 3 ($20K–$50K),"Q30: International Development, Relief Services",31-1580204,"$830,799","$165,575","$996,373",International Affairs,International Affairs - General
Greenpeace Canada,AVGLZKMV,Tier 3 ($20K–$50K),C60: Environmental Education,,"$564,484","$428,605","$993,089",Environment,Environment - General
Israel Alliance,ASDYNGQR,Tier 3 ($20K–$50K),X90,85-2852032,"$690,135","$299,720","$989,855",,
Scarborough Health Network Foundation,ATTWSCKG,Tier 3 ($20K–$50K),,,"$950,659","$36,694","$987,353",,
Miriam's Kitchen,AUBAKXZY,Tier 4 ($10K–$20K),P85: Homeless Persons Centers and Services,52-1331552,"$947,316","$38,853","$986,168",Human Services,"Human Services - Housing, Shelter"
East Texas Food Bank,ATGLBRZY,Tier 3 ($20K–$50K),"K31: Food Banks, Food Pantries",75-2222686,"$813,455","$165,089","$978,544",Food & Nutrition,Food Banks
Rockford Rescue Mission,APJFPDAZ,Tier 3 ($20K–$50K),"L41: Homeless, Temporary Shelter",36-6132381,"$677,962","$298,157","$976,119",Human Services,"Human Services - Housing, Shelter"
IFAW UK,AFSPESKW,Tier 3 ($20K–$50K),,,"$648,794","$320,199","$968,994",,
SOS International,ASYXEBAM,Tier 4 ($10K–$20K),,,"$526,992","$434,333","$961,325",,
Everytown for Gun Safety,AMNBTWFT,Tier 1 ($100K+),,,"$915,124","$45,244","$960,368",Public and Society Benefit,"Public & Society Benefit - Crime, Legal"
Connecticut Humane Society,AXTNMPHY,Tier 4 ($10K–$20K),D20: Animal Protection and Welfare,06-0667605,"$602,863","$352,583","$955,446",Animal Welfare,Animal Welfare - General
Feeding Southwest Virginia,AUDJVGWM,Tier 3 ($20K–$50K),"K30: Food Service, Free Food Distribution Programs",54-1939556,"$688,600","$262,230","$950,831",Food & Nutrition,Food Banks
"WHO Foundation (WHOF), Foundation in Support of WHO",AMEEWKFZ,Tier 2 ($50K–$100K),,,"$690,241","$253,388","$943,630",,
Market Street Mission,ARWYGUQE,Tier 5 ($5K–10K),X20: Christian,22-6047486,"$930,762","$9,473","$940,235",Religion,Religion - Christian
Adapostul Speranta,AMFJYXJE,Tier 6 (<$5K),,,"$251,859","$688,137","$939,996",,
Ukraine Children's Action Project,APGKFCPG,,,,"$349,740","$589,532","$939,272",,
Bat Conservation International,APENJMPK,Tier 2 ($50K–$100K),"D30: Wildlife Preservation, Protection",74-2553144,"$561,433","$376,899","$938,332",Animal Welfare,Animal Welfare - General
Brown Bagging for Calgary's Kids,AAEZGCPF,Tier 3 ($20K–$50K),"K30: Food Service, Free Food Distribution Programs",,"$680,171","$254,407","$934,578",Food & Nutrition,Food Banks
Animal Haven,AHWWZMWG,Tier 4 ($10K–$20K),D20: Animal Protection and Welfare,11-6101487,"$667,458","$265,713","$933,171",Animal Welfare,Animal Welfare - General
The Winning Walk,AJBEZXKW,,,,"$606,672","$322,464","$929,137",,
Lupus Foundation of America,ARVHGABZ,Tier 3 ($20K–$50K),G80: Specifically Named Diseases,43-1131436,"$847,525","$77,395","$924,920",Healthcare,Healthcare - General
Shepherds of Good Hope,ANQFSLLX,Tier 3 ($20K–$50K),"L41: Homeless, Temporary Shelter",,"$824,992","$95,251","$920,244",Human Services,"Human Services - Housing, Shelter"
The Hunger Project,ARHVTUPR,Tier 3 ($20K–$50K),Q33: International Relief,94-2443282,"$357,799","$560,438","$918,236",International Affairs,International Affairs - General
